id,date,location,site,habitat,transect_no,size_class,area_m2,number
pedasi_azuero_rocky_shore_9,3/6/2025,pedasi,azuero,rocky_shore,9,3,103.14,2
pedasi_azuero_rocky_shore_4,3/10/2025,pedasi,azuero,rocky_shore,4,4,148.92,10
bocas_almirante_mangrove_2,2/10/2025,bocas,almirante,mangrove,2,1,108.72,10
bocas_almirante_mangrove_3,2/21/2025,bocas,almirante,mangrove,3,3,137.75,10
pedasi_azuero_rocky_shore_7,4/11/2025,pedasi,azuero,rocky_shore,7,2,165.56,1
puerto_armuelles_open_water_4,2/6/2025,puerto,armuelles,open_water,4,2,143.63,8
puerto_armuelles_open_water_3,3/27/2025,puerto,armuelles,open_water,3,1,177.56,3
bocas_almirante_mangrove_5,2/12/2025,bocas,almirante,mangrove,5,2,144.58,2
david_chiriqui_seagrass_6,2/12/2025,david,chiriqui,seagrass,6,1,174.62,9
pedasi_azuero_rocky_shore_9,2/6/2025,pedasi,azuero,rocky_shore,9,1,168.46,7
bocas_almirante_mangrove_3,2/1/2025,bocas,almirante,mangrove,3,4,117.63,10
pedasi_azuero_rocky_shore_6,3/24/2025,pedasi,azuero,rocky_shore,6,2,128.06,1
panama_colon_coral_reef_5,4/11/2025,panama,colon,coral_reef,5,5,191.97,5
pedasi_azuero_rocky_shore_6,4/3/2025,pedasi,azuero,rocky_shore,6,2,165.57,3
puerto_armuelles_open_water_6,1/31/2025,puerto,armuelles,open_water,6,2,107.47,7
panama_colon_coral_reef_2,4/7/2025,panama,colon,coral_reef,2,2,194.28,2
puerto_armuelles_open_water_10,2/25/2025,puerto,armuelles,open_water,10,4,127.91,3
puerto_armuelles_open_water_3,2/14/2025,puerto,armuelles,open_water,3,5,161.23,6
pedasi_azuero_rocky_shore_9,3/22/2025,pedasi,azuero,rocky_shore,9,3,177.92,7
puerto_armuelles_open_water_2,4/6/2025,puerto,armuelles,open_water,2,5,130.93,10
david_chiriqui_seagrass_5,3/6/2025,david,chiriqui,seagrass,5,5,198.9,3
pedasi_azuero_rocky_shore_6,3/28/2025,pedasi,azuero,rocky_shore,6,1,121.88,4
panama_colon_coral_reef_10,3/18/2025,panama,colon,coral_reef,10,3,109.14,1
pedasi_azuero_rocky_shore_4,4/18/2025,pedasi,azuero,rocky_shore,4,5,136.44,6
puerto_armuelles_open_water_8,4/17/2025,puerto,armuelles,open_water,8,4,100.61,10
bocas_almirante_mangrove_2,3/8/2025,bocas,almirante,mangrove,2,1,137.22,7
puerto_armuelles_open_water_2,2/19/2025,puerto,armuelles,open_water,2,2,154.55,9
panama_colon_coral_reef_1,2/6/2025,panama,colon,coral_reef,1,1,159.31,1
panama_colon_coral_reef_5,2/28/2025,panama,colon,coral_reef,5,1,106.05,7
puerto_armuelles_open_water_3,2/12/2025,puerto,armuelles,open_water,3,3,189.34,5
david_chiriqui_seagrass_3,1/24/2025,david,chiriqui,seagrass,3,2,155.07,2
bocas_almirante_mangrove_10,3/3/2025,bocas,almirante,mangrove,10,2,146.58,4
puerto_armuelles_open_water_3,2/27/2025,puerto,armuelles,open_water,3,3,175.3,2
bocas_almirante_mangrove_3,3/14/2025,bocas,almirante,mangrove,3,2,197.76,10
panama_colon_coral_reef_2,4/6/2025,panama,colon,coral_reef,2,5,104.05,4
pedasi_azuero_rocky_shore_4,3/17/2025,pedasi,azuero,rocky_shore,4,1,157.78,4
puerto_armuelles_open_water_2,2/4/2025,puerto,armuelles,open_water,2,1,174.62,10
david_chiriqui_seagrass_3,1/28/2025,david,chiriqui,seagrass,3,3,136,6
pedasi_azuero_rocky_shore_4,3/27/2025,pedasi,azuero,rocky_shore,4,3,141.79,5
bocas_almirante_mangrove_4,3/23/2025,bocas,almirante,mangrove,4,5,129.7,7
david_chiriqui_seagrass_3,4/3/2025,david,chiriqui,seagrass,3,4,135.45,2
panama_colon_coral_reef_6,3/2/2025,panama,colon,coral_reef,6,3,116.66,4
panama_colon_coral_reef_3,2/25/2025,panama,colon,coral_reef,3,3,157.13,2
david_chiriqui_seagrass_4,3/29/2025,david,chiriqui,seagrass,4,5,174.12,7
panama_colon_coral_reef_2,4/10/2025,panama,colon,coral_reef,2,1,168.1,1
puerto_armuelles_open_water_1,3/12/2025,puerto,armuelles,open_water,1,3,194.95,6
bocas_almirante_mangrove_8,2/18/2025,bocas,almirante,mangrove,8,1,133.66,4
puerto_armuelles_open_water_4,2/20/2025,puerto,armuelles,open_water,4,2,158.96,4
puerto_armuelles_open_water_3,2/3/2025,puerto,armuelles,open_water,3,1,107.91,5
puerto_armuelles_open_water_7,3/10/2025,puerto,armuelles,open_water,7,5,154.54,3
pedasi_azuero_rocky_shore_2,2/12/2025,pedasi,azuero,rocky_shore,2,5,106.62,5
puerto_armuelles_open_water_7,4/17/2025,puerto,armuelles,open_water,7,1,101.2,3
bocas_almirante_mangrove_4,2/14/2025,bocas,almirante,mangrove,4,2,143.59,2
pedasi_azuero_rocky_shore_7,3/8/2025,pedasi,azuero,rocky_shore,7,5,104.92,7
bocas_almirante_mangrove_7,3/15/2025,bocas,almirante,mangrove,7,2,118.87,6
david_chiriqui_seagrass_8,2/19/2025,david,chiriqui,seagrass,8,3,113.49,8
david_chiriqui_seagrass_3,3/27/2025,david,chiriqui,seagrass,3,5,190.41,10
puerto_armuelles_open_water_10,2/26/2025,puerto,armuelles,open_water,10,3,171.07,1
pedasi_azuero_rocky_shore_9,1/23/2025,pedasi,azuero,rocky_shore,9,3,131.45,2
david_chiriqui_seagrass_6,3/28/2025,david,chiriqui,seagrass,6,1,181.52,8
pedasi_azuero_rocky_shore_2,3/30/2025,pedasi,azuero,rocky_shore,2,1,146.09,8
david_chiriqui_seagrass_10,2/6/2025,david,chiriqui,seagrass,10,3,112.75,6
panama_colon_coral_reef_9,2/22/2025,panama,colon,coral_reef,9,5,147.85,6
pedasi_azuero_rocky_shore_9,2/2/2025,pedasi,azuero,rocky_shore,9,2,121.6,3
